<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.US,5,20200817,155000,115.52,115.7,115.49,115.58,1601684,0
AAPL.US,5,20200817,155500,115.6,115.66,115.43,115.47,1180184,0
AAPL.US,5,20200817,160000,115.46,115.58,115.39,115.54,1058508,0
AAPL.US,5,20200817,160500,115.54,115.55,115.09,115.11,1763332,0
AAPL.US,5,20200817,161000,115.11,115.13,114.7,114.85,2918536,0
AAPL.US,5,20200817,161500,114.85,114.86,114.29,114.32,2358056,0
AAPL.US,5,20200817,162000,114.32,114.58,114.31,114.55,1801520,0
AAPL.US,5,20200817,162500,114.54,114.66,114.41,114.42,1247012,0
AAPL.US,5,20200817,163000,114.42,114.58,114.35,114.58,1118412,0
AAPL.US,5,20200817,163500,114.58,114.83,114.56,114.78,1569448,0
AAPL.US,5,20200817,164000,114.78,114.82,114.59,114.78,1046256,0
AAPL.US,5,20200817,164500,114.79,114.81,114.66,114.74,694468,0
AAPL.US,5,20200817,165000,114.74,114.81,114.62,114.76,784468,0
AAPL.US,5,20200817,165500,114.75,114.81,114.51,114.55,818912,0
AAPL.US,5,20200817,170000,114.55,114.55,114.35,114.43,1065792,0
AAPL.US,5,20200817,170500,114.44,114.51,114.32,114.51,839108,0
AAPL.US,5,20200817,171000,114.51,114.67,114.5,114.64,933652,0
AAPL.US,5,20200817,171500,114.63,114.72,114.57,114.61,934644,0
AAPL.US,5,20200817,172000,114.62,114.65,114.44,114.5,776244,0
AAPL.US,5,20200817,172500,114.5,114.57,114.43,114.5,709188,0
AAPL.US,5,20200817,173000,114.49,114.55,114.23,114.3,1208668,0
AAPL.US,5,20200817,173500,114.3,114.36,114.14,114.18,1030248,0
AAPL.US,5,20200817,174000,114.17,114.21,113.99,114.02,1310288,0
AAPL.US,5,20200817,174500,114.03,114.19,113.96,114.18,1362568,0
AAPL.US,5,20200817,175000,114.19,114.25,114.11,114.22,707204,0
AAPL.US,5,20200817,175500,114.22,114.39,114.21,114.33,995052,0
AAPL.US,5,20200817,180000,114.34,114.59,114.34,114.56,1242056,0
AAPL.US,5,20200817,180500,114.56,114.56,114.38,114.4,940472,0
AAPL.US,5,20200817,181000,114.41,114.42,114.29,114.36,652868,0
AAPL.US,5,20200817,181500,114.36,114.43,114.31,114.36,472784,0
AAPL.US,5,20200817,182000,114.37,114.5,114.27,114.46,602392,0
AAPL.US,5,20200817,182500,114.47,114.54,114.4,114.41,566920,0
AAPL.US,5,20200817,183000,114.41,114.46,114.32,114.37,444640,0
AAPL.US,5,20200817,183500,114.38,114.4,114.28,114.36,437644,0
AAPL.US,5,20200817,184000,114.35,114.45,114.31,114.4,417948,0
AAPL.US,5,20200817,184500,114.4,114.56,114.35,114.5,619252,0
AAPL.US,5,20200817,185000,114.51,114.66,114.51,114.64,707900,0
AAPL.US,5,20200817,185500,114.64,114.68,114.53,114.67,535860,0
AAPL.US,5,20200817,190000,114.68,114.79,114.61,114.69,760692,0
AAPL.US,5,20200817,190500,114.69,114.78,114.62,114.72,573688,0
AAPL.US,5,20200817,191000,114.71,114.78,114.67,114.71,590716,0
AAPL.US,5,20200817,191500,114.71,114.79,114.69,114.73,434608,0
AAPL.US,5,20200817,192000,114.72,114.74,114.6,114.64,451788,0
AAPL.US,5,20200817,192500,114.64,114.64,114.36,114.46,729620,0
AAPL.US,5,20200817,193000,114.46,114.49,114.29,114.4,639992,0
AAPL.US,5,20200817,193500,114.41,114.44,114.32,114.42,526648,0
AAPL.US,5,20200817,194000,114.42,114.53,114.41,114.51,425024,0
AAPL.US,5,20200817,194500,114.52,114.61,114.51,114.57,378024,0
AAPL.US,5,20200817,195000,114.57,114.62,114.49,114.57,483772,0
AAPL.US,5,20200817,195500,114.57,114.68,114.5,114.67,383724,0
AAPL.US,5,20200817,200000,114.66,114.75,114.6,114.72,620660,0
AAPL.US,5,20200817,200500,114.72,114.89,114.72,114.86,967544,0
AAPL.US,5,20200817,201000,114.86,115.11,114.86,114.95,1700912,0
AAPL.US,5,20200817,201500,114.94,115.03,114.91,114.98,667604,0
AAPL.US,5,20200817,202000,114.98,115.12,114.91,115.1,798020,0
AAPL.US,5,20200817,202500,115.1,115.11,114.99,115.04,601236,0
AAPL.US,5,20200817,203000,115.04,115.23,115.04,115.17,1096604,0
AAPL.US,5,20200817,203500,115.17,115.19,115.1,115.16,625436,0
AAPL.US,5,20200817,204000,115.16,115.16,114.92,114.97,713788,0
AAPL.US,5,20200817,204500,114.96,114.98,114.85,114.85,566684,0
AAPL.US,5,20200817,205000,114.86,115.01,114.82,114.97,666928,0
AAPL.US,5,20200817,205500,114.97,115.08,114.96,115.07,634780,0
AAPL.US,5,20200817,210000,115.07,115.08,114.84,114.85,704092,0
AAPL.US,5,20200817,210500,114.84,114.93,114.78,114.81,692688,0
AAPL.US,5,20200817,211000,114.81,114.82,114.64,114.7,676592,0
AAPL.US,5,20200817,211500,114.71,114.86,114.67,114.79,740508,0
AAPL.US,5,20200817,212000,114.79,114.86,114.73,114.86,557012,0
AAPL.US,5,20200817,212500,114.86,114.95,114.82,114.92,608564,0
AAPL.US,5,20200817,213000,114.92,114.96,114.86,114.89,707944,0
AAPL.US,5,20200817,213500,114.89,115.06,114.89,115.04,889640,0
AAPL.US,5,20200817,214000,115.04,115.14,115.02,115.04,828688,0
AAPL.US,5,20200817,214500,115.03,115.04,114.93,114.99,785656,0
AAPL.US,5,20200817,215000,114.99,115.2,114.75,114.82,1559788,0
AAPL.US,5,20200817,215500,114.82,114.84,114.5,114.61,9747368,0
AAPL.US,5,20200818,153000,114.35,114.91,114.35,114.67,3716128,0
AAPL.US,5,20200818,153500,114.69,115.5,114.63,115.44,3134644,0
AAPL.US,5,20200818,154000,115.45,115.47,115.02,115.03,1656248,0
AAPL.US,5,20200818,154500,115.03,115.35,115.03,115.06,1227476,0
AAPL.US,5,20200818,155000,115.05,115.07,114.21,114.22,2905472,0
AAPL.US,5,20200818,155500,114.2,114.65,114.18,114.65,1617496,0
AAPL.US,5,20200818,160000,114.62,114.69,114.52,114.6,894340,0
AAPL.US,5,20200818,160500,114.59,114.62,114.18,114.19,1232320,0
AAPL.US,5,20200818,161000,114.19,114.59,114.13,114.57,1391400,0
AAPL.US,5,20200818,161500,114.57,114.65,114.44,114.48,763128,0
AAPL.US,5,20200818,162000,114.49,114.5,114.21,114.28,883680,0
AAPL.US,5,20200818,162500,114.28,114.43,114.06,114.12,1093960,0
AAPL.US,5,20200818,163000,114.11,114.4,114.01,114.4,1009416,0
AAPL.US,5,20200818,163500,114.4,114.5,114.31,114.41,641804,0
AAPL.US,5,20200818,164000,114.42,114.67,114.18,114.66,987052,0
AAPL.US,5,20200818,164500,114.67,114.9,114.61,114.86,1061028,0
AAPL.US,5,20200818,165000,114.86,115.1,114.86,114.99,1207452,0
AAPL.US,5,20200818,165500,114.97,115.01,114.89,114.99,714124,0
AAPL.US,5,20200818,170000,114.99,115,114.82,114.85,515308,0
AAPL.US,5,20200818,170500,114.85,115.06,114.82,115.05,645920,0
AAPL.US,5,20200818,171000,115.05,115.06,114.92,114.97,450872,0
AAPL.US,5,20200818,171500,114.97,115.08,114.93,115.01,577108,0
AAPL.US,5,20200818,172000,115.01,115.13,114.89,115.12,835916,0
AAPL.US,5,20200818,172500,115.11,115.2,115.06,115.07,765704,0
AAPL.US,5,20200818,173000,115.09,115.17,114.97,115,754916,0
AAPL.US,5,20200818,173500,115.01,115.01,114.86,114.91,595528,0
AAPL.US,5,20200818,174000,114.9,114.97,114.82,114.9,534800,0
AAPL.US,5,20200818,174500,114.89,114.93,114.8,114.92,394580,0
AAPL.US,5,20200818,175000,114.92,115.1,114.9,115.09,642804,0
AAPL.US,5,20200818,175500,115.09,115.18,115.02,115.13,603624,0
AAPL.US,5,20200818,180000,115.11,115.29,115.1,115.27,921892,0
AAPL.US,5,20200818,180500,115.26,115.42,115.26,115.34,1025672,0
AAPL.US,5,20200818,181000,115.34,115.46,115.33,115.41,750700,0
AAPL.US,5,20200818,181500,115.41,115.43,115.25,115.34,677340,0
AAPL.US,5,20200818,182000,115.36,115.39,115.28,115.3,433004,0
AAPL.US,5,20200818,182500,115.3,115.36,115.28,115.31,378268,0
AAPL.US,5,20200818,183000,115.3,115.47,115.29,115.35,608792,0
AAPL.US,5,20200818,183500,115.36,115.46,115.33,115.43,500468,0
AAPL.US,5,20200818,184000,115.43,115.65,115.4,115.63,1416524,0
AAPL.US,5,20200818,184500,115.64,115.71,115.49,115.58,1067044,0
AAPL.US,5,20200818,185000,115.59,115.62,115.4,115.47,793144,0
AAPL.US,5,20200818,185500,115.46,115.46,115.29,115.38,845196,0
AAPL.US,5,20200818,190000,115.38,115.38,115.21,115.24,748032,0
AAPL.US,5,20200818,190500,115.24,115.38,115.22,115.36,602724,0
AAPL.US,5,20200818,191000,115.36,115.43,115.31,115.4,737048,0
AAPL.US,5,20200818,191500,115.4,115.47,115.4,115.44,521616,0
AAPL.US,5,20200818,192000,115.44,115.54,115.33,115.36,741232,0
AAPL.US,5,20200818,192500,115.36,115.62,115.36,115.58,773856,0
AAPL.US,5,20200818,193000,115.59,115.68,115.58,115.61,853224,0
AAPL.US,5,20200818,193500,115.6,115.68,115.56,115.66,853284,0
AAPL.US,5,20200818,194000,115.66,115.86,115.64,115.86,1565236,0
