<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSLA.US,5,20200818,160500,376.4,376.76,371.8,372,829840,0
TSLA.US,5,20200818,161000,372.13,374.93,372.09,373.4,564345,0
TSLA.US,5,20200818,161500,373.46,376.4,373.4,376.03,635720,0
TSLA.US,5,20200818,162000,376.2,378.6,375.27,377.88,768910,0
TSLA.US,5,20200818,162500,378,379.18,375.45,375.64,776830,0
TSLA.US,5,20200818,163000,375.43,377.53,374.78,377,477755,0
TSLA.US,5,20200818,163500,377.12,377.6,375.35,376.73,415695,0
TSLA.US,5,20200818,164000,376.75,379,375.39,378.02,526180,0
TSLA.US,5,20200818,164500,377.86,382.32,377.79,381.97,1152090,0
TSLA.US,5,20200818,165000,381.75,383.56,381.31,382.1,872960,0
TSLA.US,5,20200818,165500,382.1,383.27,381.38,382.19,506205,0
TSLA.US,5,20200818,170000,382.22,382.31,379.79,379.8,572965,0
TSLA.US,5,20200818,170500,379.76,382.14,379.65,381.28,560925,0
TSLA.US,5,20200818,171000,381.27,381.32,380.2,381.09,191585,0
TSLA.US,5,20200818,171500,380.9,381,378,379.07,481445,0
TSLA.US,5,20200818,172000,379,379.68,377.5,379.58,366465,0
TSLA.US,5,20200818,172500,379.42,380.02,377.98,378.49,279900,0
TSLA.US,5,20200818,173000,378.6,378.78,376.49,377.53,382475,0
TSLA.US,5,20200818,173500,377.56,378.6,376.2,376.81,378440,0
TSLA.US,5,20200818,174000,376.43,377.87,376.43,377.66,164590,0
TSLA.US,5,20200818,174500,377.72,377.96,375.84,376.28,266205,0
TSLA.US,5,20200818,175000,376,377,375.28,376.72,292700,0
TSLA.US,5,20200818,175500,376.72,379.15,376.65,378.87,420415,0
TSLA.US,5,20200818,180000,378.81,379.33,378.02,378.4,236125,0
TSLA.US,5,20200818,180500,378.37,379,378.09,378.6,179745,0
TSLA.US,5,20200818,181000,378.81,379.8,378.77,379,271595,0
TSLA.US,5,20200818,181500,378.95,379.29,377.72,378.4,206405,0
TSLA.US,5,20200818,182000,378.52,379.3,378.43,379.12,115730,0
TSLA.US,5,20200818,182500,379.2,380,378.92,379.3,271835,0
TSLA.US,5,20200818,183000,379.39,380.48,378.76,379.68,325020,0
TSLA.US,5,20200818,183500,379.73,380.08,379.02,379.21,166520,0
TSLA.US,5,20200818,184000,379.2,379.63,378.82,379.6,147285,0
TSLA.US,5,20200818,184500,379.56,380.2,378.26,378.43,255810,0
TSLA.US,5,20200818,185000,378.54,379.15,378.43,378.96,105975,0
TSLA.US,5,20200818,185500,378.9,379.2,377.72,377.72,162595,0
